"individualID","uid","date","eventID","patchOrIndividual","canopyPosition","plantStatus","stemDiameter","measurementHeight","maxCanopyDiameter","ninetyCanopyDiameter","patchSize","percentCover","height","diseaseType","obsYear"
"NEON.PLA.D16.ABBY.06070","7a71d5da-f7a4-4133-9b53-b025c18d6d56",2020-10-07,NA,"Individual","Partially shaded","Live",10.4,130,4,3.3,NA,NA,9.3,NA,2020
"NEON.PLA.D16.ABBY.06045","04ea431f-528f-4795-84c5-ab796c89f92b",2020-10-07,NA,"Individual","Partially shaded","Live",9.7,130,3.3,2.7,NA,NA,8.7,NA,2020
"NEON.PLA.D16.ABBY.06053","e8249366-75ea-49a4-866c-64b8c72ca9b8",2020-10-07,NA,"Individual","Partially shaded","Live",1.4,130,1.8,1.8,NA,NA,1.9,NA,2020
"NEON.PLA.D16.ABBY.06198","e5529433-88ed-430b-bf8a-7dbe9a9b457a",2020-10-07,NA,"Patch","Mostly shaded","Live",NA,NA,NA,NA,1,100,0.9,NA,2020
"NEON.PLA.D16.ABBY.06009","7684d48e-eb5a-47da-9ce7-1679f7ff91d3",2020-10-07,NA,"Patch","Mostly shaded","Live",NA,NA,NA,NA,1,65,0.8,NA,2020
"NEON.PLA.D16.ABBY.06078","d1332611-d8fd-43b7-b135-c862bb42620e",2020-10-07,NA,"Individual","Mostly shaded","Live",1.7,130,3.1,1.6,NA,NA,4.1,NA,2020
"NEON.PLA.D16.ABBY.06083","de5b0d43-6aca-4e6d-a70b-739a1073b69d",2020-10-07,NA,"Patch","Mostly shaded","Live",NA,NA,NA,NA,1,70,0.8,NA,2020
"NEON.PLA.D16.ABBY.06071","b5ca919f-ea44-41b7-b3fb-55ba10033c51",2020-10-07,NA,"Individual","Mostly shaded","Live",3,10,1.9,1.7,NA,NA,2.4,NA,2020
"NEON.PLA.D16.ABBY.06167","2c3feb93-09f1-4393-bf61-f29d21296020",2020-10-07,NA,"Individual","Partially shaded","Live",17.7,130,5.3,4.7,NA,NA,12.4,NA,2020
"NEON.PLA.D16.ABBY.06088","647cee94-3373-46fe-a158-3bdb52b48cbb",2020-10-07,NA,"Patch","Partially shaded","Live",NA,NA,NA,NA,1,75,0.5,NA,2020
"NEON.PLA.D16.ABBY.06069","136678e4-2357-4778-9a18-788480a1187e",2020-10-07,NA,"Patch","Mostly shaded","Live",NA,NA,NA,NA,1,55,1.1,NA,2020
"NEON.PLA.D16.ABBY.06086","ebf7aeff-6072-4717-a16f-c3e38ef3034e",2020-10-07,NA,"Individual","Partially shaded","Live",15.6,130,4.4,4,NA,NA,9.5,NA,2020
"NEON.PLA.D16.ABBY.06002","5d3e57d1-b4e9-4af4-9db9-eae2c0b1bf0b",2020-10-07,NA,"Patch","Mostly shaded","Live",NA,NA,NA,NA,1,95,1,NA,2020
"NEON.PLA.D16.ABBY.06056","97f87cb3-48a9-4d14-9747-950590bfd24f",2020-10-07,NA,"Individual","Partially shaded","Live",2.6,10,1.1,1,NA,NA,1.7,NA,2020
"NEON.PLA.D16.ABBY.06049","12e4f969-2e84-4e99-be42-57018366a1f4",2020-10-07,NA,"Individual","Partially shaded","Live",3.1,130,1.6,1.5,NA,NA,3.2,NA,2020
"NEON.PLA.D16.ABBY.06099","6f76ff1d-7e12-4c7c-94aa-9a8154610d10",2020-10-07,NA,"Patch","Mostly shaded","Live",NA,NA,NA,NA,1,100,0.6,NA,2020
"NEON.PLA.D16.ABBY.06043","4f5bb20a-4221-4df5-9c68-8954d2cccc92",2020-10-07,NA,"Individual","Partially shaded","Live",14.4,130,3.2,3.1,NA,NA,9.6,NA,2020
"NEON.PLA.D16.ABBY.06094","437e330e-6f1b-4233-b9e5-a8202ebddf27",2020-10-07,NA,"Patch","Mostly shaded","Live",NA,NA,NA,NA,1,20,0.4,NA,2020
"NEON.PLA.D16.ABBY.06046","33a7e7fd-49cb-4923-9bb6-fc25a72d6592",2020-10-07,NA,"Individual","Partially shaded","Live",2,130,3.1,2.7,NA,NA,3.9,NA,2020
"NEON.PLA.D16.ABBY.06181","f6e8fc47-06b9-4499-81c3-e5d5622874e8",2020-10-07,NA,"Patch","Partially shaded","Live",NA,NA,NA,NA,1,80,0.6,NA,2020
"NEON.PLA.D16.ABBY.06182","576d562f-90ec-4f86-839d-1b37160146dc",2020-10-07,NA,"Individual","Partially shaded","Live",3.7,130,5.7,5.7,NA,NA,4.7,NA,2020
"NEON.PLA.D16.ABBY.06057","4662fa7a-3b6b-4369-b2b2-228f9204b5f4",2020-10-07,NA,"Individual","Partially shaded","Live",19.2,130,5.7,5.3,NA,NA,11,NA,2020
"NEON.PLA.D16.ABBY.06076","c66775b3-53b7-4d3c-97d7-86ed0c775629",2020-10-07,NA,"Individual","Partially shaded","Live",14.5,136,4.7,4.5,NA,NA,9.7,NA,2020
"NEON.PLA.D16.ABBY.06093","af45a597-ca37-4b3d-bc6d-bcb0d359fcdd",2020-10-07,NA,"Individual","Partially shaded","Live",12.1,130,4.1,4.4,NA,NA,7.4,NA,2020
"NEON.PLA.D16.ABBY.06023","db9e3aef-421f-43b5-b224-585f6f8f93f1",2020-10-07,NA,"Individual","Full sun","Live",2.4,130,4.2,3.3,NA,NA,3.5,NA,2020
"NEON.PLA.D16.ABBY.06087","fd667c08-6e3d-4cf9-b76e-ebd881eac80a",2020-10-07,NA,"Individual","Mostly shaded","Live",2.4,130,3.1,2.7,NA,NA,3.9,NA,2020
"NEON.PLA.D16.ABBY.06064","fabcb566-923d-4f6f-846d-6c73332338b8",2020-10-07,NA,"Individual","Mostly shaded","Live",40.7,137,6.9,6,NA,NA,36.5,NA,2020
"NEON.PLA.D16.ABBY.06018","66c5dfed-421b-448a-8322-fe41f87c7f77",2020-10-07,NA,"Individual","Full sun","Live",1.9,130,2.9,2.7,NA,NA,3.5,NA,2020
"NEON.PLA.D16.ABBY.06005","61a52546-572b-4c03-986d-ec1e72cc5331",2020-10-07,NA,"Patch","Mostly shaded","Live",NA,NA,NA,NA,1,40,0.6,NA,2020
"NEON.PLA.D16.ABBY.06192","86a134e3-3c3f-4b19-9059-7993388d3810",2020-10-07,NA,"Individual","Partially shaded","Live, disease damaged",17.7,130,5.3,5.1,NA,NA,10.8,"Swiss needle cast",2020
"NEON.PLA.D16.ABBY.06068","6686dd3d-f701-422e-ae47-a8f36d09fd9f",2020-10-07,NA,"Individual","Mostly shaded","Live",3.4,10,0.9,0.9,NA,NA,3.4,NA,2020
"NEON.PLA.D16.ABBY.06038","40585f92-2885-4c79-bbea-029967f2a55a",2020-10-07,NA,"Individual","Partially shaded","Live",12.1,140,4.1,4,NA,NA,9.8,NA,2020
"NEON.PLA.D16.ABBY.06096","3e93f43f-a190-4910-8312-0ccd35883a86",2020-10-07,NA,"Individual","Partially shaded","Live",10.7,136,3.9,3.6,NA,NA,8.5,NA,2020
"NEON.PLA.D16.ABBY.06197","78e8265c-83a0-44b1-9a5c-fee26cae3d63",2020-10-07,NA,"Patch","Partially shaded","Live",NA,NA,NA,NA,1,100,0.7,NA,2020
"NEON.PLA.D16.ABBY.06013","3e782e3e-d785-4909-8fde-f1716b0d3244",2020-10-07,NA,"Patch","Mostly shaded","Live",NA,NA,NA,NA,1,100,0.7,NA,2020
"NEON.PLA.D16.ABBY.06042","e1505bbb-8cc2-444d-bf46-d01c10729213",2020-10-07,NA,"Individual","Partially shaded","Live",2.8,10,0.7,0.4,NA,NA,0.9,NA,2020
"NEON.PLA.D16.ABBY.06006","6c440fca-9efd-4a52-bdbd-df4a8957570f",2020-10-07,NA,"Patch","Partially shaded","Live",NA,NA,NA,NA,1,95,1,NA,2020
"NEON.PLA.D16.ABBY.06024","952a0c02-c59c-4c13-adfc-8ee059184890",2020-10-07,NA,"Individual","Partially shaded","Live, other damage",72.6,130,7.6,7.4,NA,NA,41.3,NA,2020
"NEON.PLA.D16.ABBY.06066","a32e93d8-924b-4b33-a334-d699951c9b88",2020-10-07,NA,"Individual",NA,"Live",78.5,130,13.7,11.2,NA,NA,47.6,NA,2020
"NEON.PLA.D16.ABBY.06019","db630cd1-43cd-48f4-bd2d-1bb4b5701e83",2020-10-07,NA,"Individual","Partially shaded","Live, physically damaged",83.7,130,14.7,11.6,NA,NA,40.1,NA,2020
"NEON.PLA.D16.ABBY.06199","6e31aded-d520-4a7e-8a67-bc332fe3200f",2020-10-07,NA,"Patch","Full shade","Live",NA,NA,NA,NA,1,95,0.8,NA,2020
"NEON.PLA.D16.ABBY.06010","d1521bc6-6e7b-4741-aadf-94c7f190ab53",2020-10-07,NA,"Patch","Partially shaded","Live",NA,NA,NA,NA,1,100,0.8,NA,2020
"NEON.PLA.D16.ABBY.06299","1246a865-2fc2-4d53-a6b7-38274d99d4ce",2021-07-14,NA,"Individual",NA,"Live",NA,NA,0.2,0.2,NA,NA,0.4,NA,2021
"NEON.PLA.D16.ABBY.06287","6c8749bb-03f8-4362-b4b2-e1af16d9f614",2021-07-14,NA,"Individual",NA,"Live",NA,NA,0.2,0.2,NA,NA,0.1,NA,2021
"NEON.PLA.D16.ABBY.06106","26adc6a3-0e3f-46ae-a597-798db61437de",2021-07-14,NA,"Individual",NA,"Live",NA,NA,0.1,0.1,NA,NA,0.1,NA,2021
"NEON.PLA.D16.ABBY.06290","83f3f0fe-2212-40a5-96f2-7433f4e6420c",2021-07-14,NA,"Individual",NA,"Live, physically damaged",NA,NA,0.1,0.1,NA,NA,0.1,NA,2021
"NEON.PLA.D16.ABBY.06109","46fb53dc-ecda-407e-b017-6e3e2296a5c0",2021-07-14,NA,"Individual",NA,"Live",NA,NA,0.1,0.1,NA,NA,0.1,NA,2021
"NEON.PLA.D16.ABBY.06295","e4fa8aea-be03-4de7-96b8-9a67321e3105",2021-07-14,NA,"Individual",NA,"Live, physically damaged",NA,NA,0.1,0.1,NA,NA,0.1,NA,2021
"NEON.PLA.D16.ABBY.06294","fc97924d-533e-46b0-aaab-8fc09e3f5131",2021-07-14,NA,"Individual",NA,"Live, physically damaged",NA,NA,0.1,0.1,NA,NA,0.1,NA,2021
"NEON.PLA.D16.ABBY.06282","42126c9e-76f7-4075-927a-096d0662bd5c",2021-07-14,NA,"Individual",NA,"Live",NA,NA,0.2,0.2,NA,NA,0.9,NA,2021
"NEON.PLA.D16.ABBY.06296","19ceebb1-a057-46c4-a039-83612723253d",2021-07-14,NA,"Patch",NA,"Live",NA,NA,NA,NA,0.063,10,0.1,NA,2021
"NEON.PLA.D16.ABBY.06108","3db9c299-6259-4228-ae29-f489895c99e9",2021-07-14,NA,"Individual",NA,"Live",NA,NA,0.5,0.2,NA,NA,0.4,NA,2021
"NEON.PLA.D16.ABBY.06297","d545db10-49a0-49cc-836f-fa113aa2bb87",2021-07-14,NA,"Individual",NA,"Live, insect damaged",NA,NA,0.3,0.3,NA,NA,1.3,NA,2021
"NEON.PLA.D16.ABBY.06119","a026c3ce-3e6d-402e-83dc-b2c1b0fa8de6",2021-07-14,NA,"Individual",NA,"Live",NA,NA,0.3,0.2,NA,NA,0.7,NA,2021
"NEON.PLA.D16.ABBY.06292","ad582ede-9844-4f1d-aa3f-e6d8ee67426b",2021-07-14,NA,"Patch",NA,"Live",NA,NA,NA,NA,0.063,10,0.2,NA,2021
"NEON.PLA.D16.ABBY.06102","8fedfecd-4621-417c-a550-dc50b923fb0e",2021-07-14,NA,"Individual",NA,"Live",NA,NA,0.1,0.1,NA,NA,0.2,NA,2021
"NEON.PLA.D16.ABBY.06116","96233c8a-630e-4000-a806-396af384fb36",2021-07-14,NA,"Individual",NA,"Live",NA,NA,0.1,0.1,NA,NA,0.4,NA,2021
"NEON.PLA.D16.ABBY.06107","f35f3dc2-1064-4052-a9e0-126e566b2296",2021-07-14,NA,"Patch",NA,"Live",NA,NA,NA,NA,0.063,5,0.1,NA,2021
"NEON.PLA.D16.ABBY.06105","d06f9517-947e-4a5a-a253-ac03d6595fd3",2021-07-14,NA,"Individual",NA,"Live",NA,NA,0.4,0.2,NA,NA,0.1,NA,2021
"NEON.PLA.D16.ABBY.06298","d9387fa0-b17b-476e-900f-bfe91f4b8ba9",2021-07-14,NA,"Individual",NA,"Live",NA,NA,0.5,0.2,NA,NA,0.4,NA,2021
"NEON.PLA.D16.ABBY.06291","2c42298d-efb5-43bd-8554-6514ed3d8d2e",2021-07-14,NA,"Individual",NA,"Live",NA,NA,0.1,0.1,NA,NA,0.1,NA,2021
"NEON.PLA.D16.ABBY.06114","b6cbbea5-fd69-43e4-b682-1a7e092cb6b1",2021-07-14,NA,"Individual",NA,"Live",NA,NA,0.2,0.1,NA,NA,0.6,NA,2021
"NEON.PLA.D16.ABBY.06281","f4c2d020-5628-4b34-b839-6aeb97cb118d",2021-07-14,NA,"Individual",NA,"Live, physically damaged",NA,NA,0.1,0.1,NA,NA,0.1,NA,2021
"NEON.PLA.D16.ABBY.06118","fbca0bfc-7219-4886-8146-b509a0aad7ae",2021-07-14,NA,"Individual",NA,"Live",NA,NA,0.3,0.1,NA,NA,0.6,NA,2021
"NEON.PLA.D16.ABBY.06104","4dd442bb-28ff-4df4-9596-646caed28c55",2021-07-14,NA,"Individual",NA,"Live",NA,NA,0.4,0.3,NA,NA,0.8,NA,2021
"NEON.PLA.D16.ABBY.06300","34805406-9ee0-42dd-baec-900e670d86fa",2021-07-14,NA,"Individual",NA,"Live",NA,NA,0.5,0.2,NA,NA,0.8,NA,2021
"NEON.PLA.D16.ABBY.06101","b5ab5adb-a023-466b-96ac-3c3e032632b6",2021-07-14,NA,"Individual",NA,"Live, insect damaged",NA,NA,0.1,0.1,NA,NA,0.1,NA,2021
"NEON.PLA.D16.ABBY.06288","24377e2b-7492-41cf-b723-d2bcf9985ded",2021-07-14,NA,"Patch",NA,"Live",NA,NA,NA,NA,0.063,10,0.1,NA,2021
"NEON.PLA.D16.ABBY.06103","4d7b4d78-9a01-4d09-a574-3544b8d92964",2021-07-14,NA,"Individual",NA,"Live",NA,NA,0.2,0.2,NA,NA,0.4,NA,2021
"NEON.PLA.D16.ABBY.06111","f3420f1b-8d0d-4056-b381-7a2aa4e39ac3",2021-07-14,NA,"Individual",NA,"Live, insect damaged",NA,NA,0.3,0.3,NA,NA,0.9,NA,2021
"NEON.PLA.D16.ABBY.06115","f52554a4-25cc-4d89-9ac8-517e307163ac",2021-07-14,NA,"Individual",NA,"Live",NA,NA,0.1,0.1,NA,NA,0.5,NA,2021
"NEON.PLA.D16.ABBY.06117","02063f53-a7f4-443a-9f6d-b934cf36d32f",2021-07-14,NA,"Individual",NA,"Live",NA,NA,0.1,0.1,NA,NA,0.3,NA,2021
"NEON.PLA.D16.ABBY.06285","1423574c-d79f-49d8-a1d4-d9f3e82a0a17",2021-07-14,NA,"Individual",NA,"Live",NA,NA,0.2,0.1,NA,NA,0.8,NA,2021
"NEON.PLA.D16.ABBY.06113","78f7d32e-c505-4d0d-9502-6ce8d3f8f7bd",2021-07-14,NA,"Patch",NA,"Live",NA,NA,NA,NA,0.063,45,0.9,NA,2021
"NEON.PLA.D16.ABBY.06293","633c10d9-a5f3-445e-b212-6df11e0d32f4",2021-07-14,NA,"Individual",NA,"Live, insect damaged",NA,NA,0.5,0.4,NA,NA,1.2,NA,2021
"NEON.PLA.D16.ABBY.06110","b57b80fb-a974-401c-b926-b42db47e928b",2021-07-14,NA,"Individual",NA,"Live",NA,NA,0.2,0.1,NA,NA,0.3,NA,2021
"NEON.PLA.D16.ABBY.06286","107c4d76-7b40-4df3-969a-ba6aaf99948c",2021-07-14,NA,"Individual",NA,"Live",NA,NA,0.1,0.1,NA,NA,0.1,NA,2021
"NEON.PLA.D16.ABBY.06112","151b14b8-6922-4621-b340-ed9d2ed2f750",2021-07-14,NA,"Individual",NA,"Live",NA,NA,0.1,0.1,NA,NA,0.1,NA,2021
"NEON.PLA.D16.ABBY.06284","3a27a0f6-835b-470a-be09-384d9c6928d2",2021-07-14,NA,"Individual",NA,"Live, physically damaged",NA,NA,0.1,0.1,NA,NA,0.1,NA,2021
"NEON.PLA.D16.ABBY.06289","6bda9137-006e-4d88-b88c-e3c429e70a33",2021-07-14,NA,"Individual",NA,"Live, physically damaged",NA,NA,0.2,0.1,NA,NA,0.3,NA,2021
"NEON.PLA.D16.ABBY.06283","2e03b543-2bac-42cf-9dd9-8a2333f79a3d",2021-07-14,NA,"Individual",NA,"Live",NA,NA,0.2,0.2,NA,NA,0.7,NA,2021
"NEON.PLA.D16.ABBY.06154","e31dec88-c771-4e6b-a0c7-a192ecf47108",2021-09-15,NA,"Individual","Partially shaded","Live",1.5,130,3.9,4.7,NA,NA,3.1,NA,2021
"NEON.PLA.D16.ABBY.06131","44e14bcb-b57d-45d1-b1a5-8a18a6f7e506",2021-09-15,NA,"Individual","Partially shaded","Live",1.3,130,1.8,1.6,NA,NA,3,NA,2021
"NEON.PLA.D16.ABBY.06278","cbd484e0-c624-4086-aea0-caeaf311ad2a",2021-09-15,NA,"Patch","Mostly shaded","Live",NA,NA,NA,NA,1,14,0.3,NA,2021
"NEON.PLA.D16.ABBY.06046","f5e88db7-fb9a-427e-8555-cc83359f6590",2021-09-15,NA,"Individual","Partially shaded","Live",2.2,130,3.5,2.9,NA,NA,4.4,NA,2021
"NEON.PLA.D16.ABBY.06145","50f6f94a-d33e-41f9-a584-1e91f7ec1257",2021-09-15,NA,"Individual","Mostly shaded","Live",3.2,130,2.6,2.3,NA,NA,3.9,NA,2021
