"individualID","uid","date","eventID","phenophaseName","phenophaseStatus","phenophaseIntensityDefinition","phenophaseIntensity","remarks","obsYear"
"NEON.PLA.D16.ABBY.06027","7ed7ce42-1cbc-450f-a572-adbe2e85bce7",2020-02-20,NA,"Increasing leaf size","no","Percentage of full size of most leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06046","706127de-4456-4a1d-9b20-ad132ffc79d1",2020-02-20,NA,"Colored leaves","no","Percentage of the canopy that is full with colored leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06071","fa4e7eb3-ba5a-4a3b-b1e9-70c93d1c6913",2020-02-20,NA,"Breaking leaf buds","no","Number of breaking buds",NA,NA,2020
"NEON.PLA.D16.ABBY.06065","bc884240-d5eb-48df-8e55-d6d33ff07bd7",2020-02-20,NA,"Colored leaves","no","Percentage of the canopy that is full with colored leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06182","d00c29a0-7365-491f-ba70-2b19ca99c07a",2020-02-20,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open on the plant that are open",NA,NA,2020
"NEON.PLA.D16.ABBY.06035","65b0cffd-d8fc-47e4-83ac-9a2844ccb632",2020-02-20,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open on the plant that are open",NA,NA,2020
"NEON.PLA.D16.ABBY.06065","b7fd7336-eaef-4079-8df1-266f01c5aec0",2020-02-20,NA,"Increasing leaf size","no","Percentage of full size of most leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06056","1193f680-ea7c-4030-a17d-ac7db774c479",2020-02-20,NA,"Increasing leaf size","no","Percentage of full size of most leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06035","44fc6ab0-49ec-43e9-88ef-5d2fcb59be2a",2020-02-20,NA,"Breaking leaf buds","no","Number of breaking buds",NA,NA,2020
"NEON.PLA.D16.ABBY.06068","12f80d8f-5d49-415d-acd3-3b523f9a56c6",2020-02-20,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open on the plant that are open",NA,NA,2020
"NEON.PLA.D16.ABBY.06039","6fa396e7-47d2-4917-bf74-a60d4e71bf66",2020-02-20,NA,"Colored leaves","no","Percentage of the canopy that is full with colored leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06065","eba82df1-8201-4c43-9aac-fa6bec62fdc8",2020-02-20,NA,"Leaves","no","Percentage of the canopy that is full with leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06098","0b0dc618-6494-4423-bb2d-e84cb3474566",2020-02-20,NA,"Leaves","no","Percentage of the canopy that is full with leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06080","1e64d7ed-8ed1-4d93-9a9e-45086a4c8976",2020-02-20,NA,"Colored leaves","no","Percentage of the canopy that is full with colored leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06056","48d3c838-7044-4920-983c-1a1c678da9d6",2020-02-20,NA,"Colored leaves","no","Percentage of the canopy that is full with colored leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06087","03842d3a-d7f3-46fa-88d5-3617fc31f94e",2020-02-20,NA,"Breaking leaf buds","no","Number of breaking buds",NA,NA,2020
"NEON.PLA.D16.ABBY.06098","ed679c6d-68c2-427c-a9c7-619d4d346098",2020-02-20,NA,"Breaking leaf buds","no","Number of breaking buds",NA,NA,2020
"NEON.PLA.D16.ABBY.06033","ec187088-8f29-4035-bb3e-5a3d414f4852",2020-02-20,NA,"Breaking leaf buds","no","Number of breaking buds",NA,NA,2020
"NEON.PLA.D16.ABBY.06029","b73b6049-762a-4d6a-986f-550412957abc",2020-02-20,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open on the plant that are open",NA,NA,2020
"NEON.PLA.D16.ABBY.06092","73e1ef61-cad8-470c-b81a-6cda2594e130",2020-02-20,NA,"Increasing leaf size","no","Percentage of full size of most leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06023","93ff69be-f72e-4053-9a8f-a7c02d526d78",2020-02-20,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open on the plant that are open",NA,NA,2020
"NEON.PLA.D16.ABBY.06085","9789a2e7-ea2c-4ff8-a496-fde18f48e482",2020-02-20,NA,"Increasing leaf size","no","Percentage of full size of most leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06078","46e65175-7978-44d0-a482-c4af6905671f",2020-02-20,NA,"Leaves","no","Percentage of the canopy that is full with leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06065","84d1f38b-05b2-4af0-bd5e-1e4fd2b9fae0",2020-02-20,NA,"Breaking leaf buds","no","Number of breaking buds",NA,NA,2020
"NEON.PLA.D16.ABBY.06029","09f2f02c-3b51-421d-9533-442842238238",2020-02-20,NA,"Colored leaves","no","Percentage of the canopy that is full with colored leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06078","852d5ae2-d7c1-4af9-a280-2b08a47621e7",2020-02-20,NA,"Increasing leaf size","no","Percentage of full size of most leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06053","a610e3b6-1c6f-450a-b10a-953113aa582a",2020-02-20,NA,"Breaking leaf buds","no","Number of breaking buds",NA,NA,2020
"NEON.PLA.D16.ABBY.06092","a77a2086-ee9f-4476-827b-cb30a0eafdd9",2020-02-20,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open on the plant that are open",NA,NA,2020
"NEON.PLA.D16.ABBY.06074","7671b86e-3583-4c31-9c1f-1c79e566e081",2020-02-20,NA,"Leaves","no","Percentage of the canopy that is full with leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06182","98ccda6c-1d29-48da-9a81-c06621a88c89",2020-02-20,NA,"Colored leaves","no","Percentage of the canopy that is full with colored leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06087","406c54b1-b9d0-428e-9ea8-bd92d8ad5428",2020-02-20,NA,"Leaves","no","Percentage of the canopy that is full with leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06042","5c9bad3e-31d6-452f-9ff2-bba260fb1473",2020-02-20,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open on the plant that are open",NA,NA,2020
"NEON.PLA.D16.ABBY.06027","92a13c6d-00cf-48c2-b753-0f36ede23ef9",2020-02-20,NA,"Colored leaves","no","Percentage of the canopy that is full with colored leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06033","1c8b5786-fa0c-4770-a31c-7e3dcac3e6b4",2020-02-20,NA,"Increasing leaf size","no","Percentage of full size of most leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06080","c8616232-2db4-431e-8470-40c985d18a46",2020-02-20,NA,"Increasing leaf size","no","Percentage of full size of most leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06068","8585c68d-dd98-4f15-81d0-4a52c16ae6a9",2020-02-20,NA,"Breaking leaf buds","no","Number of breaking buds",NA,NA,2020
"NEON.PLA.D16.ABBY.06012","79d16b36-c28c-4b0e-bca0-30bde5f4f361",2020-02-20,NA,"Falling leaves","no",NA,NA,NA,2020
"NEON.PLA.D16.ABBY.06039","33dbf140-aaa3-4f22-a358-9ba1449ca313",2020-02-20,NA,"Breaking leaf buds","no","Number of breaking buds",NA,NA,2020
"NEON.PLA.D16.ABBY.06029","6fa55597-f581-46de-95a2-72f2be19c1bb",2020-02-20,NA,"Falling leaves","no",NA,NA,NA,2020
"NEON.PLA.D16.ABBY.06016","5d861ee9-daaa-4474-9fb3-726c5d6ea4d5",2020-02-20,NA,"Breaking leaf buds","no","Number of breaking buds",NA,NA,2020
"NEON.PLA.D16.ABBY.06016","f868b600-284a-4221-837b-1b853ff8425b",2020-02-20,NA,"Colored leaves","no","Percentage of the canopy that is full with colored leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06022","2ee2adda-e43a-4ab4-b970-4324455bbcaa",2020-02-20,NA,"Colored leaves","no","Percentage of the canopy that is full with colored leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06089","b89f8b75-f588-4e68-853d-59ebd3080a35",2020-02-20,NA,"Breaking leaf buds","no","Number of breaking buds",NA,NA,2020
"NEON.PLA.D16.ABBY.06089","004c07c1-9ae3-42da-baba-761f6a8d0c64",2020-02-20,NA,"Falling leaves","no",NA,NA,NA,2020
"NEON.PLA.D16.ABBY.06182","ff123da4-5bfa-48ca-8ad3-9612a4d360dc",2020-02-20,NA,"Falling leaves","no",NA,NA,NA,2020
"NEON.PLA.D16.ABBY.06078","447e17f6-48fd-4bc0-a29b-b40c12749403",2020-02-20,NA,"Colored leaves","no","Percentage of the canopy that is full with colored leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06023","5df5864d-0a12-4b06-b5bc-4bfeae15952b",2020-02-20,NA,"Falling leaves","no",NA,NA,NA,2020
"NEON.PLA.D16.ABBY.06048","7dd3d407-b808-4ff1-b40e-3c44067d57d7",2020-02-20,NA,"Colored leaves","no","Percentage of the canopy that is full with colored leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06065","e8c6646a-ba16-46af-b270-ae29041574de",2020-02-20,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open on the plant that are open",NA,NA,2020
"NEON.PLA.D16.ABBY.06068","d0b029c0-8879-4c03-92d3-c16a6df0400a",2020-02-20,NA,"Colored leaves","no","Percentage of the canopy that is full with colored leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06092","bcc106df-efe2-469d-8411-776ac4c0dfc5",2020-02-20,NA,"Colored leaves","no","Percentage of the canopy that is full with colored leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06087","4d00b6c4-bbe2-4012-b706-30f762af66fa",2020-02-20,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open on the plant that are open",NA,NA,2020
"NEON.PLA.D16.ABBY.06035","91ba9aa8-cb72-4531-b7b7-547fd6785971",2020-02-20,NA,"Falling leaves","no",NA,NA,NA,2020
"NEON.PLA.D16.ABBY.06080","ec4cbbf4-2714-4e66-9957-07f37a2e6b76",2020-02-20,NA,"Leaves","no","Percentage of the canopy that is full with leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06078","fd9a95ff-d8c8-47f4-b65e-d2f9e5a79c13",2020-02-20,NA,"Falling leaves","no",NA,NA,NA,2020
"NEON.PLA.D16.ABBY.06063","6016ddff-4f20-4f19-925a-c5a6324bda3b",2020-02-20,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open on the plant that are open",NA,NA,2020
"NEON.PLA.D16.ABBY.06074","fdea2c3a-d46d-4b4e-82cd-9f095de3ebc2",2020-02-20,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open on the plant that are open",NA,NA,2020
"NEON.PLA.D16.ABBY.06012","dd678548-a841-47ec-909a-c582e3de8e33",2020-02-20,NA,"Leaves","no","Percentage of the canopy that is full with leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06098","ee6c9565-71cd-4c04-a0e8-459dfb5ddd26",2020-02-20,NA,"Falling leaves","no",NA,NA,NA,2020
"NEON.PLA.D16.ABBY.06068","6fefbeec-fbd2-4bf1-873f-47455a1f46e6",2020-02-20,NA,"Leaves","no","Percentage of the canopy that is full with leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06068","34e8f9ab-d1f8-45bb-b81e-5db50c6bd475",2020-02-20,NA,"Increasing leaf size","no","Percentage of full size of most leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06048","00064bae-8815-4276-aa97-d0616f4b4db6",2020-02-20,NA,"Breaking leaf buds","no","Number of breaking buds",NA,NA,2020
"NEON.PLA.D16.ABBY.06087","bf7ad64b-5798-4c1a-a61c-6266f1ba6f5a",2020-02-20,NA,"Falling leaves","no",NA,NA,NA,2020
"NEON.PLA.D16.ABBY.06053","53e9aba9-23bf-4c86-8176-79b00177ecfb",2020-02-20,NA,"Leaves","no","Percentage of the canopy that is full with leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06023","46e6e247-4e65-42b6-90d7-fbb050d9e7fa",2020-02-20,NA,"Breaking leaf buds","no","Number of breaking buds",NA,NA,2020
"NEON.PLA.D16.ABBY.06078","07a7dcab-5e82-4bc6-b8e1-b70aa4fd8d4a",2020-02-20,NA,"Breaking leaf buds","no","Number of breaking buds",NA,NA,2020
"NEON.PLA.D16.ABBY.06087","fcb704c7-89ec-4c40-8a25-9b6306e6e607",2020-02-20,NA,"Colored leaves","no","Percentage of the canopy that is full with colored leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06074","f78617c4-5cd3-4f4a-8a75-49cce76ccc4f",2020-02-20,NA,"Breaking leaf buds","no","Number of breaking buds",NA,NA,2020
"NEON.PLA.D16.ABBY.06065","d5ad3d75-d30a-4f38-8a22-f35f33f0c417",2020-02-20,NA,"Falling leaves","no",NA,NA,NA,2020
"NEON.PLA.D16.ABBY.06071","a853bd73-0743-4695-860d-50eb739922c0",2020-02-20,NA,"Falling leaves","no",NA,NA,NA,2020
"NEON.PLA.D16.ABBY.06016","8b5ffa26-5f2b-43f7-97d3-b10fd71de25b",2020-02-20,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open on the plant that are open",NA,NA,2020
"NEON.PLA.D16.ABBY.06078","14b4bf9c-b8ff-45dd-b145-6112bfa0e910",2020-02-20,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open on the plant that are open",NA,NA,2020
"NEON.PLA.D16.ABBY.06046","214c5260-bd49-4170-86cd-1dc18ebdb52e",2020-02-20,NA,"Breaking leaf buds","no","Number of breaking buds",NA,NA,2020
"NEON.PLA.D16.ABBY.06053","99e97e6a-782d-45a9-ac2e-7968b00fc1e2",2020-02-20,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open on the plant that are open",NA,NA,2020
"NEON.PLA.D16.ABBY.06051","74c454f6-9298-4c20-af4c-5252a1ee1a9d",2020-02-20,NA,"Breaking leaf buds","no","Number of breaking buds",NA,NA,2020
"NEON.PLA.D16.ABBY.06092","e6e96213-2b16-4770-8aa5-aced914f3ec1",2020-02-20,NA,"Leaves","no","Percentage of the canopy that is full with leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06042","96f58377-3237-4f6c-9267-050ea1189a14",2020-02-20,NA,"Leaves","no","Percentage of the canopy that is full with leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06056","42eb34b4-f733-4bc6-a692-72f23a9569a5",2020-02-20,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open on the plant that are open",NA,NA,2020
"NEON.PLA.D16.ABBY.06051","20b155af-c016-4cd9-ab34-49315f4ca17e",2020-02-20,NA,"Increasing leaf size","no","Percentage of full size of most leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06042","2736d9db-1dbb-4454-841a-930824241cb5",2020-02-20,NA,"Breaking leaf buds","no","Number of breaking buds",NA,NA,2020
"NEON.PLA.D16.ABBY.06053","a0a59dff-cf61-4971-975c-e7bc73916105",2020-02-20,NA,"Falling leaves","no",NA,NA,NA,2020
"NEON.PLA.D16.ABBY.06023","13c5a931-8110-4d75-8888-3408d15e2d8e",2020-02-20,NA,"Colored leaves","no","Percentage of the canopy that is full with colored leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06029","63eb9506-a295-44fd-a4d3-d386b8ba0f2f",2020-02-20,NA,"Leaves","no","Percentage of the canopy that is full with leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06063","a3c6ff78-11ba-47fe-a7df-7e4e44c4f705",2020-02-20,NA,"Leaves","no","Percentage of the canopy that is full with leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06035","7a23baa3-d240-40a5-9a52-c51197cb10bc",2020-02-20,NA,"Leaves","no","Percentage of the canopy that is full with leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06085","147e0bfa-c5b8-45c5-921b-1360011200e4",2020-02-20,NA,"Breaking leaf buds","no","Number of breaking buds",NA,NA,2020
"NEON.PLA.D16.ABBY.06085","2e7e1efa-099c-46b9-a319-e368acc96abd",2020-02-20,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open on the plant that are open",NA,NA,2020
"NEON.PLA.D16.ABBY.06023","0d76da64-dbb3-40b7-8866-8105a187feec",2020-02-20,NA,"Increasing leaf size","no","Percentage of full size of most leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06016","71aa671c-8664-49ae-a900-5f4bbe479e49",2020-02-20,NA,"Leaves","no","Percentage of the canopy that is full with leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06022","787d851e-e47d-4f8e-b272-7e6ec81983a1",2020-02-20,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open on the plant that are open",NA,NA,2020
"NEON.PLA.D16.ABBY.06098","0aae5449-5071-4897-bdb8-ffab0e79fc1b",2020-02-20,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open on the plant that are open",NA,NA,2020
"NEON.PLA.D16.ABBY.06042","6997402f-4e8a-4e4d-aca8-48c68fa38410",2020-02-20,NA,"Colored leaves","no","Percentage of the canopy that is full with colored leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06071","b4a91555-5f08-4848-a929-f3912b32b48c",2020-02-20,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open on the plant that are open",NA,NA,2020
"NEON.PLA.D16.ABBY.06051","04ff8e0f-f74a-45e4-aa3b-8bdbd173b53b",2020-02-20,NA,"Leaves","no","Percentage of the canopy that is full with leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06080","7643d8f4-9077-414f-81ce-9fdfea467c11",2020-02-20,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open on the plant that are open",NA,NA,2020
"NEON.PLA.D16.ABBY.06092","76d6afb8-c8a3-4323-a54b-cd35091d2499",2020-02-20,NA,"Breaking leaf buds","no","Number of breaking buds",NA,NA,2020
"NEON.PLA.D16.ABBY.06063","76c240f4-f894-4c29-9f98-135018921324",2020-02-20,NA,"Increasing leaf size","no","Percentage of full size of most leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06051","d54e2807-7e78-4f26-8d81-101aafce3bb1",2020-02-20,NA,"Colored leaves","no","Percentage of the canopy that is full with colored leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06046","00d1eebc-dfcb-47aa-a0ca-79f016e8fdf3",2020-02-20,NA,"Leaves","no","Percentage of the canopy that is full with leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06033","95d3b6c9-28d5-4e8e-bc81-d820c00f87e1",2020-02-20,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open on the plant that are open",NA,NA,2020
"NEON.PLA.D16.ABBY.06022","eedd4e17-1aa4-4fed-9a33-b1ce1e643143",2020-02-20,NA,"Falling leaves","no",NA,NA,NA,2020
"NEON.PLA.D16.ABBY.06089","61ef6b1f-5035-43d5-ac3f-5ce24873a305",2020-02-20,NA,"Leaves","no","Percentage of the canopy that is full with leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06074","05940c87-64e2-4628-9850-eda465e18603",2020-02-20,NA,"Falling leaves","no",NA,NA,NA,2020
"NEON.PLA.D16.ABBY.06016","ec3673e9-5d1e-4869-97c4-0553f211eac2",2020-02-20,NA,"Increasing leaf size","no","Percentage of full size of most leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06056","78f3650a-0c19-479a-a4ba-fd06a9806fc0",2020-02-20,NA,"Breaking leaf buds","no","Number of breaking buds",NA,NA,2020
"NEON.PLA.D16.ABBY.06056","f2f30bd2-ce62-4262-882a-aeeec2f603f8",2020-02-20,NA,"Falling leaves","no",NA,NA,NA,2020
"NEON.PLA.D16.ABBY.06074","0c7111ba-5e53-4fbc-9b54-44a979b23cd6",2020-02-20,NA,"Colored leaves","no","Percentage of the canopy that is full with colored leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06053","8bbc2a74-6654-4c69-b69a-ad25c9b82f72",2020-02-20,NA,"Colored leaves","no","Percentage of the canopy that is full with colored leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06033","2a94dfed-07df-4dc6-8120-3d7a64cc7846",2020-02-20,NA,"Leaves","no","Percentage of the canopy that is full with leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06033","eda76cf6-4b6f-4791-a0e2-8bdd734ee551",2020-02-20,NA,"Colored leaves","no","Percentage of the canopy that is full with colored leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06012","308f48e7-4511-4f75-9c33-bd8eabc8bbaa",2020-02-20,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open on the plant that are open",NA,NA,2020
"NEON.PLA.D16.ABBY.06039","3524bd4b-17a4-4235-b42b-b21f60a14574",2020-02-20,NA,"Increasing leaf size","no","Percentage of full size of most leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06016","2f2a1629-63e1-4f7d-9161-37275a782cd5",2020-02-20,NA,"Falling leaves","no",NA,NA,NA,2020
"NEON.PLA.D16.ABBY.06039","33c9ee34-a5cf-4645-b43e-96bf4a28566d",2020-02-20,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open on the plant that are open",NA,NA,2020
"NEON.PLA.D16.ABBY.06012","2a732608-7996-4d76-a13d-b265c54b6453",2020-02-20,NA,"Increasing leaf size","no","Percentage of full size of most leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06042","035bb3f3-e2af-4a82-bf3a-b6740cf72cd4",2020-02-20,NA,"Falling leaves","no",NA,NA,NA,2020
"NEON.PLA.D16.ABBY.06022","d913d6cb-4009-4b94-8af7-d055194bb123",2020-02-20,NA,"Leaves","no","Percentage of the canopy that is full with leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06027","f7a07f5e-010d-4608-a368-b0b542644096",2020-02-20,NA,"Falling leaves","no",NA,NA,NA,2020
"NEON.PLA.D16.ABBY.06080","6d8136ba-875c-412a-a82b-c18c2ac83f1b",2020-02-20,NA,"Falling leaves","no",NA,NA,NA,2020
"NEON.PLA.D16.ABBY.06089","40ebeee3-558a-46e6-98d5-7e83e3fcecc2",2020-02-20,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open on the plant that are open",NA,NA,2020
"NEON.PLA.D16.ABBY.06027","d398d35d-20cc-4d22-b2b0-c57b1f7a7d4c",2020-02-20,NA,"Breaking leaf buds","no","Number of breaking buds",NA,NA,2020
"NEON.PLA.D16.ABBY.06085","e48d3286-d951-4050-b46f-f9028dcb3335",2020-02-20,NA,"Leaves","no","Percentage of the canopy that is full with leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06087","faa4939f-e512-4eb8-8cb0-020512506040",2020-02-20,NA,"Increasing leaf size","no","Percentage of full size of most leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06053","941bce7d-58f9-4a19-8d60-8818ef3c877f",2020-02-20,NA,"Increasing leaf size","no","Percentage of full size of most leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06063","2d3cf447-b5d2-4378-a9e7-54b73187968a",2020-02-20,NA,"Colored leaves","no","Percentage of the canopy that is full with colored leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06033","7b83693b-3861-4984-921f-5cc036b7a337",2020-02-20,NA,"Falling leaves","no",NA,NA,NA,2020
"NEON.PLA.D16.ABBY.06035","a8200368-546f-480a-ac14-cce931ef7ddc",2020-02-20,NA,"Colored leaves","no","Percentage of the canopy that is full with colored leaves",NA,NA,2020
"NEON.PLA.D16.ABBY.06048","edc7f763-a4b2-4970-8446-f1dccdad5ffe",2020-02-20,NA,"Open flowers","no","Percentage of all fresh flowers (buds plus unopened plus open on the plant that are open",NA,NA,2020
"NEON.PLA.D16.ABBY.06071","d0fe0bc4-9cc4-4ecd-8b85-856eb75b85bc",2020-02-20,NA,"Leaves","no","Percentage of the canopy that is full with leaves",NA,NA,2020
